titulo,predicao_lexicon,predicao_finbert,predicao_zeroshot,ensemble_maioria,ensemble_lex_priority,ensemble_fin_priority,rotulo_manual
Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,negativo,positivo,neutro,negativo,negativo,positivo,positivo
Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo,negativo,negativo,negativo,negativo,negativo,negativo
"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",positivo,neutro,positivo,positivo,positivo,neutro,positivo
Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,neutro,neutro,positivo,neutro,neutro,neutro,positivo
Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,negativo,positivo,neutro,negativo,negativo,positivo,negativo
Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,positivo,negativo,positivo,positivo,positivo,negativo,negativo
Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,positivo,positivo,neutro,positivo,positivo,positivo,neutro
EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo,negativo,negativo,negativo,negativo,negativo,negativo
"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo,negativo,negativo,negativo,negativo,negativo,negativo
"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",neutro,negativo,neutro,neutro,neutro,negativo,positivo
CNPJ passará a ter letras a partir de  julho. Entenda o motivo,positivo,neutro,neutro,neutro,positivo,neutro,positivo
Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,neutro,negativo,neutro,neutro,neutro,negativo,neutro
Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,positivo,neutro,positivo,positivo,positivo,neutro,positivo
"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",neutro,negativo,negativo,negativo,neutro,negativo,neutro
Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,positivo,negativo,positivo,positivo,positivo,negativo,positivo
Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,positivo,neutro,neutro,neutro,positivo,neutro,positivo
"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",positivo,negativo,negativo,negativo,positivo,negativo,neutro
"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",positivo,negativo,negativo,negativo,positivo,negativo,neutro
“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,positivo,neutro,positivo,positivo,positivo,neutro,positivo
"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",neutro,neutro,neutro,neutro,neutro,neutro,negativo
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",negativo,neutro,neutro,neutro,negativo,neutro,negativo
JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,neutro,negativo,neutro,neutro,neutro,negativo,negativo
Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,positivo,negativo,positivo,positivo,positivo,negativo,negativo
"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",negativo,positivo,positivo,positivo,negativo,positivo,positivo
FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,negativo,negativo,neutro,negativo,negativo,negativo,negativo
Fundos Imobiliários,neutro,neutro,neutro,neutro,neutro,neutro,neutro
"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",neutro,neutro,negativo,neutro,neutro,neutro,neutro
Criptos,positivo,neutro,neutro,neutro,positivo,neutro,neutro
"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",neutro,negativo,neutro,neutro,neutro,negativo,negativo
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",negativo,neutro,neutro,neutro,negativo,neutro,negativo
XP International disponibiliza Predictions Market para plataformas XP e Rico,positivo,positivo,positivo,positivo,positivo,positivo,neutro
"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",positivo,neutro,positivo,positivo,positivo,neutro,negativo
"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",positivo,positivo,positivo,positivo,positivo,positivo,neutro
Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo,negativo,negativo,negativo,negativo,negativo,negativo
O S&P 500 é imbatível?,positivo,positivo,positivo,positivo,positivo,positivo,positivo
"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo,positivo,positivo,positivo,positivo,positivo,positivo
Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,neutro,negativo,negativo,negativo,neutro,negativo,negativo
"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",neutro,negativo,neutro,neutro,neutro,negativo,positivo
"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",negativo,negativo,neutro,negativo,negativo,negativo,negativo
